Epoch 6. Train Loss: 0.309089, Train Acc: 0.866935, Valid Loss: 0.252658, Valid Acc: 0.906250, Time 00:00:08
Epoch 7. Train Loss: 0.126372, Train Acc: 0.927419, Valid Loss: 0.165969, Valid Acc: 0.926389, Time 00:00:08
Epoch 8. Train Loss: 0.220032, Train Acc: 0.903226, Valid Loss: 0.232900, Valid Acc: 0.938889, Time 00:00:08
Epoch 9. Train Loss: 0.348881, Train Acc: 0.854839, Valid Loss: 0.186545, Valid Acc: 0.951389, Time 00:00:08
Epoch 10. Train Loss: 0.126482, Train Acc: 0.959677, Valid Loss: 0.191647, Valid Acc: 0.945139, Time 00:00:08
Epoch 11. Train Loss: 0.117860, Train Acc: 0.947581, Valid Loss: 0.174572, Valid Acc: 0.932639, Time 00:00:08
Epoch 12. Train Loss: 0.083741, Train Acc: 0.971774, Valid Loss: 0.214848, Valid Acc: 0.926389, Time 00:00:08
Epoch 13. Train Loss: 0.107177, Train Acc: 0.971774, Valid Loss: 0.253377, Valid Acc: 0.926389, Time 00:00:08
Epoch 14. Train Loss: 0.130517, Train Acc: 0.943548, Valid Loss: 0.207190, Valid Acc: 0.926389, Time 00:00:08
Epoch 0. Train Loss: 0.499517, Train Acc: 0.709677, Valid Loss: 0.385395, Valid Acc: 0.834028, Time 00:00:07
Epoch 1. Train Loss: 0.308458, Train Acc: 0.854839, Valid Loss: 0.198603, Valid Acc: 0.931250, Time 00:00:08
Epoch 2. Train Loss: 0.286826, Train Acc: 0.870968, Valid Loss: 0.142145, Valid Acc: 0.968750, Time 00:00:08
Epoch 3. Train Loss: 0.208604, Train Acc: 0.915323, Valid Loss: 0.135234, Valid Acc: 0.956250, Time 00:00:08
Epoch 4. Train Loss: 0.320352, Train Acc: 0.883065, Valid Loss: 0.329068, Valid Acc: 0.879167, Time 00:00:08
Epoch 5. Train Loss: 0.295208, Train Acc: 0.862903, Valid Loss: 0.466769, Valid Acc: 0.850000, Time 00:00:08
Epoch 6. Train Loss: 0.192632, Train Acc: 0.923387, Valid Loss: 0.814335, Valid Acc: 0.719444, Time 00:00:08
Epoch 7. Train Loss: 0.186800, Train Acc: 0.931452, Valid Loss: 0.219120, Valid Acc: 0.925000, Time 00:00:08
Epoch 8. Train Loss: 0.293688, Train Acc: 0.895161, Valid Loss: 1.827953, Valid Acc: 0.558333, Time 00:00:08
Epoch 9. Train Loss: 0.231428, Train Acc: 0.891129, Valid Loss: 0.196716, Valid Acc: 0.951389, Time 00:00:08
Epoch 10. Train Loss: 0.200562, Train Acc: 0.919355, Valid Loss: 0.210042, Valid Acc: 0.938889, Time 00:00:08
Epoch 11. Train Loss: 0.109841, Train Acc: 0.951613, Valid Loss: 0.274556, Valid Acc: 0.926389, Time 00:00:08
Epoch 12. Train Loss: 0.193414, Train Acc: 0.923387, Valid Loss: 0.244777, Valid Acc: 0.938889, Time 00:00:08
Epoch 13. Train Loss: 0.165681, Train Acc: 0.923387, Valid Loss: 0.226246, Valid Acc: 0.951389, Time 00:00:08
Epoch 14. Train Loss: 0.163644, Train Acc: 0.931452, Valid Loss: 0.286747, Valid Acc: 0.938889, Time 00:00:08
Epoch 15. Train Loss: 0.180882, Train Acc: 0.923387, Valid Loss: 0.208471, Valid Acc: 0.938889, Time 00:00:08
Epoch 16. Train Loss: 0.118707, Train Acc: 0.963710, Valid Loss: 0.238056, Valid Acc: 0.920139, Time 00:00:08
Epoch 17. Train Loss: 0.065904, Train Acc: 0.963710, Valid Loss: 0.248560, Valid Acc: 0.913889, Time 00:00:08
Epoch 18. Train Loss: 0.251255, Train Acc: 0.915323, Valid Loss: 0.341010, Valid Acc: 0.920139, Time 00:00:08
Epoch 19. Train Loss: 0.163300, Train Acc: 0.947581, Valid Loss: 0.232049, Valid Acc: 0.932639, Time 00:00:08
Epoch 0. Train Loss: 0.660067, Train Acc: 0.678763, Valid Loss: 0.247932, Valid Acc: 0.906250, Time 00:00:07
Epoch 1. Train Loss: 0.281435, Train Acc: 0.864247, Valid Loss: 0.313663, Valid Acc: 0.900000, Time 00:00:08
Epoch 2. Train Loss: 0.245360, Train Acc: 0.876344, Valid Loss: 0.162507, Valid Acc: 0.968750, Time 00:00:08
Epoch 3. Train Loss: 0.225487, Train Acc: 0.888441, Valid Loss: 0.274234, Valid Acc: 0.902778, Time 00:00:08
Epoch 4. Train Loss: 0.200618, Train Acc: 0.927419, Valid Loss: 0.110276, Valid Acc: 0.951389, Time 00:00:08
Epoch 5. Train Loss: 0.181916, Train Acc: 0.927419, Valid Loss: 0.269698, Valid Acc: 0.938889, Time 00:00:08
Epoch 6. Train Loss: 0.183522, Train Acc: 0.931452, Valid Loss: 0.171726, Valid Acc: 0.945139, Time 00:00:08
Epoch 7. Train Loss: 0.214330, Train Acc: 0.907258, Valid Loss: 0.200026, Valid Acc: 0.932639, Time 00:00:08
Epoch 8. Train Loss: 0.201641, Train Acc: 0.931452, Valid Loss: 0.132021, Valid Acc: 0.970139, Time 00:00:08
Epoch 9. Train Loss: 0.133699, Train Acc: 0.951613, Valid Loss: 0.194640, Valid Acc: 0.915278, Time 00:00:08
Epoch 10. Train Loss: 0.200565, Train Acc: 0.911290, Valid Loss: 1.045405, Valid Acc: 0.750694, Time 00:00:08
Epoch 11. Train Loss: 0.196550, Train Acc: 0.911290, Valid Loss: 0.145278, Valid Acc: 0.963889, Time 00:00:08
Epoch 12. Train Loss: 0.139049, Train Acc: 0.948925, Valid Loss: 0.270284, Valid Acc: 0.931250, Time 00:00:08
Epoch 13. Train Loss: 0.328473, Train Acc: 0.899194, Valid Loss: 0.259038, Valid Acc: 0.897917, Time 00:00:08
Epoch 14. Train Loss: 0.136072, Train Acc: 0.963710, Valid Loss: 0.204613, Valid Acc: 0.932639, Time 00:00:08
Epoch 15. Train Loss: 0.137020, Train Acc: 0.935484, Valid Loss: 0.184157, Valid Acc: 0.927778, Time 00:00:08
Epoch 0. Train Loss: 0.651469, Train Acc: 0.697581, Valid Loss: 0.270429, Valid Acc: 0.888889, Time 00:00:07
Epoch 1. Train Loss: 0.210977, Train Acc: 0.919355, Valid Loss: 0.210712, Valid Acc: 0.920139, Time 00:00:08
Epoch 0. Train Loss: 0.535053, Train Acc: 0.741935, Valid Loss: 0.229930, Valid Acc: 0.918750, Time 00:00:07
Epoch 0. Train Loss: 0.631287, Train Acc: 0.713710, Valid Loss: 0.179256, Valid Acc: 0.938889, Time 00:00:07
Epoch 1. Train Loss: 0.568849, Train Acc: 0.752688, Valid Loss: 1.048171, Valid Acc: 0.662500, Time 00:00:08
Epoch 2. Train Loss: 0.251747, Train Acc: 0.887097, Valid Loss: 0.185730, Valid Acc: 0.951389, Time 00:00:08
Epoch 3. Train Loss: 0.238511, Train Acc: 0.899194, Valid Loss: 0.435206, Valid Acc: 0.865278, Time 00:00:08
Epoch 4. Train Loss: 0.192334, Train Acc: 0.920699, Valid Loss: 0.217580, Valid Acc: 0.932639, Time 00:00:08
Epoch 5. Train Loss: 0.126036, Train Acc: 0.944892, Valid Loss: 0.510846, Valid Acc: 0.822917, Time 00:00:08
Epoch 6. Train Loss: 0.204387, Train Acc: 0.903226, Valid Loss: 0.291895, Valid Acc: 0.920139, Time 00:00:08
Epoch 7. Train Loss: 0.243137, Train Acc: 0.911290, Valid Loss: 0.224118, Valid Acc: 0.932639, Time 00:00:08
Epoch 8. Train Loss: 0.208035, Train Acc: 0.919355, Valid Loss: 0.166792, Valid Acc: 0.945139, Time 00:00:08
Epoch 9. Train Loss: 0.271794, Train Acc: 0.907258, Valid Loss: 0.191240, Valid Acc: 0.932639, Time 00:00:08
Epoch 10. Train Loss: 0.185652, Train Acc: 0.923387, Valid Loss: 0.483753, Valid Acc: 0.865278, Time 00:00:08
Epoch 0. Train Loss: 0.527979, Train Acc: 0.747312, Valid Loss: 0.716500, Valid Acc: 0.664583, Time 00:00:07
Epoch 1. Train Loss: 0.378779, Train Acc: 0.818548, Valid Loss: 0.248698, Valid Acc: 0.882639, Time 00:00:08
Epoch 2. Train Loss: 0.195465, Train Acc: 0.912634, Valid Loss: 0.226116, Valid Acc: 0.901389, Time 00:00:08
Epoch 3. Train Loss: 0.234422, Train Acc: 0.911290, Valid Loss: 0.144437, Valid Acc: 0.957639, Time 00:00:08
Epoch 4. Train Loss: 0.322769, Train Acc: 0.873656, Valid Loss: 0.857512, Valid Acc: 0.725000, Time 00:00:08
Epoch 5. Train Loss: 0.225126, Train Acc: 0.904570, Valid Loss: 0.218283, Valid Acc: 0.921528, Time 00:00:08
Epoch 6. Train Loss: 0.138771, Train Acc: 0.951613, Valid Loss: 0.314463, Valid Acc: 0.888889, Time 00:00:08
Epoch 7. Train Loss: 0.147054, Train Acc: 0.927419, Valid Loss: 0.177930, Valid Acc: 0.920139, Time 00:00:08
Epoch 8. Train Loss: 0.222974, Train Acc: 0.901882, Valid Loss: 0.409110, Valid Acc: 0.863889, Time 00:00:08
Epoch 9. Train Loss: 0.339505, Train Acc: 0.907258, Valid Loss: 0.266995, Valid Acc: 0.920139, Time 00:00:08
Epoch 10. Train Loss: 0.119847, Train Acc: 0.959677, Valid Loss: 0.294513, Valid Acc: 0.913889, Time 00:00:08
